timestamp,algorithm,env,n_episodes,eval_episodes,eval_mean,gamma,alpha,epsilon,n_steps,lam,trace_cutoff,seed,checkpoint,mode
20260514_010301,q_learning,FrozenLake-v1,300,50,0.000000,0.99,0.1,0.1,4,0.9,,42,models/best.pkl,train_eval
20260514_010439,policy_iteration,FrozenLake-v1,80,30,0.600000,0.99,0.1,0.1,4,0.9,,42,models/best.pkl,train_eval
20260514_010443,q_policy_iteration,FrozenLake-v1,80,30,0.700000,0.99,0.1,0.1,4,0.9,,42,models/best.pkl,train_eval
20260514_010447,value_iteration,FrozenLake-v1,80,30,0.633333,0.99,0.1,0.1,4,0.9,,42,models/best.pkl,train_eval
20260514_010451,mc_epsilon_greedy,FrozenLake-v1,80,30,0.000000,0.99,0.1,0.1,4,0.9,,42,models/best.pkl,train_eval
20260514_010455,mc_exploring_starts,FrozenLake-v1,80,30,0.000000,0.99,0.1,0.1,4,0.9,,42,models/best.pkl,train_eval
20260514_010459,td0,FrozenLake-v1,80,30,,0.99,0.1,0.1,4,0.9,,42,models/best.pkl,train_eval
20260514_010503,td_lambda_forward,FrozenLake-v1,80,30,,0.99,0.1,0.1,4,0.9,,42,models/best.pkl,train_eval
20260514_011559,policy_iteration,FrozenLake-v1,50,10,0.800000,0.99,0.1,0.1,4,0.9,,42,models/best.pkl,train_eval
20260514_011603,q_policy_iteration,FrozenLake-v1,50,10,0.700000,0.99,0.1,0.1,4,0.9,,42,models/best.pkl,train_eval
20260514_011607,value_iteration,FrozenLake-v1,50,10,0.600000,0.99,0.1,0.1,4,0.9,,42,models/best.pkl,train_eval
20260514_011610,mc_epsilon_greedy,FrozenLake-v1,50,10,0.000000,0.99,0.1,0.1,4,0.9,,42,models/best.pkl,train_eval
20260514_011614,mc_exploring_starts,FrozenLake-v1,50,10,0.000000,0.99,0.1,0.1,4,0.9,,42,models/best.pkl,train_eval
20260514_011618,td0,FrozenLake-v1,50,10,,0.99,0.1,0.1,4,0.9,,42,models/best.pkl,train_eval
20260514_011621,td_lambda_forward,FrozenLake-v1,50,10,,0.99,0.1,0.1,4,0.9,,42,models/best.pkl,train_eval
20260514_011630,sarsa,FrozenLake-v1,50,10,0.000000,0.99,0.1,0.1,4,0.9,,42,models/best.pkl,train_eval
20260514_011636,sarsa_lambda_forward,FrozenLake-v1,50,10,0.000000,0.99,0.1,0.1,4,0.9,,42,models/best.pkl,train_eval
20260514_011640,sarsa_lambda,FrozenLake-v1,50,10,0.000000,0.99,0.1,0.1,4,0.9,,42,models/best.pkl,train_eval
20260514_011643,q_learning,FrozenLake-v1,50,10,0.000000,0.99,0.1,0.1,4,0.9,,42,models/best.pkl,train_eval
20260514_012041,policy_iteration,FrozenLake-v1,50,10,0.800000,0.99,0.1,0.1,4,0.9,,42,models/best.pkl,train_eval
20260514_012045,q_policy_iteration,FrozenLake-v1,50,10,0.600000,0.99,0.1,0.1,4,0.9,,42,models/best.pkl,train_eval
20260514_012049,value_iteration,FrozenLake-v1,50,10,0.800000,0.99,0.1,0.1,4,0.9,,42,models/best.pkl,train_eval
20260514_012052,mc_epsilon_greedy,FrozenLake-v1,50,10,0.100000,0.99,0.1,0.1,4,0.9,,42,models/best.pkl,train_eval
20260514_012056,mc_exploring_starts,FrozenLake-v1,50,10,0.000000,0.99,0.1,0.1,4,0.9,,42,models/best.pkl,train_eval
20260514_012100,td0,FrozenLake-v1,50,10,,0.99,0.1,0.1,4,0.9,,42,models/best.pkl,train_eval
20260514_012103,td_lambda_forward,FrozenLake-v1,50,10,,0.99,0.1,0.1,4,0.9,,42,models/best.pkl,train_eval
20260514_012109,td_lambda,FrozenLake-v1,50,10,0.000000,0.99,0.1,0.1,4,0.9,,42,models/best.pkl,train_eval
20260514_012113,sarsa,FrozenLake-v1,50,10,0.000000,0.99,0.1,0.1,4,0.9,,42,models/best.pkl,train_eval
20260514_012117,n_step_sarsa,FrozenLake-v1,50,10,0.000000,0.99,0.1,0.1,4,0.9,,42,models/best.pkl,train_eval
20260514_012120,sarsa_lambda_forward,FrozenLake-v1,50,10,0.000000,0.99,0.1,0.1,4,0.9,,42,models/best.pkl,train_eval
20260514_012124,sarsa_lambda,FrozenLake-v1,50,10,0.000000,0.99,0.1,0.1,4,0.9,,42,models/best.pkl,train_eval
20260514_012128,q_learning,FrozenLake-v1,50,10,0.000000,0.99,0.1,0.1,4,0.9,,42,models/best.pkl,train_eval
20260514_012224,policy_iteration,FrozenLake-v1,50,10,0.800000,0.99,0.1,0.1,4,0.9,,42,models/best.pkl,train_eval
20260514_012227,q_policy_iteration,FrozenLake-v1,50,10,0.800000,0.99,0.1,0.1,4,0.9,,42,models/best.pkl,train_eval
20260514_012231,value_iteration,FrozenLake-v1,50,10,0.900000,0.99,0.1,0.1,4,0.9,,42,models/best.pkl,train_eval
20260514_012235,mc_epsilon_greedy,FrozenLake-v1,50,10,0.000000,0.99,0.1,0.1,4,0.9,,42,models/best.pkl,train_eval
20260514_012238,mc_exploring_starts,FrozenLake-v1,50,10,0.000000,0.99,0.1,0.1,4,0.9,,42,models/best.pkl,train_eval
20260514_012242,td0,FrozenLake-v1,50,10,,0.99,0.1,0.1,4,0.9,,42,models/best.pkl,train_eval
20260514_012246,td_lambda_forward,FrozenLake-v1,50,10,,0.99,0.1,0.1,4,0.9,,42,models/best.pkl,train_eval
20260514_012249,n_step_td,FrozenLake-v1,50,10,0.000000,0.99,0.1,0.1,4,0.9,,42,models/best.pkl,train_eval
20260514_012253,td_lambda,FrozenLake-v1,50,10,0.000000,0.99,0.1,0.1,4,0.9,,42,models/best.pkl,train_eval
20260514_012256,sarsa,FrozenLake-v1,50,10,0.000000,0.99,0.1,0.1,4,0.9,,42,models/best.pkl,train_eval
20260514_012300,n_step_sarsa,FrozenLake-v1,50,10,0.000000,0.99,0.1,0.1,4,0.9,,42,models/best.pkl,train_eval
20260514_012304,sarsa_lambda_forward,FrozenLake-v1,50,10,0.000000,0.99,0.1,0.1,4,0.9,,42,models/best.pkl,train_eval
20260514_012307,sarsa_lambda,FrozenLake-v1,50,10,0.000000,0.99,0.1,0.1,4,0.9,,42,models/best.pkl,train_eval
20260514_012311,q_learning,FrozenLake-v1,50,10,0.000000,0.99,0.1,0.1,4,0.9,,42,models/best.pkl,train_eval
20260514_015643,q_learning,FrozenLake-v1,500,100,0.000000,0.99,0.1,0.1,4,0.9,,42,models/best.pkl,train_eval
20260514_015651,q_learning,FrozenLake-v1,5000,100,0.000000,0.99,0.1,0.1,4,0.9,,42,models/best.pkl,train_eval
